Région,Nom,Âge[N 1],Taille,Résidence,Élue le,Classement final,Réf.
Miss Alsace,Adeline Vetter,27 ans,"1,71 m",Rossfeld,10 septembre 2023 à Kirrwiller,Prix de la culture générale[21],"[22],[23]"
Miss Aquitaine,Lola Turpin,19 ans,"1,73 m",Trélissac,3 septembre 2023 à Bordeaux,Prix de la camaraderie[24] et  prix de l’éloquence[25],"[26],[27]"
Miss Auvergne,Oriane Mallet,22 ans,"1,83 m",Vichy,24 septembre 2023 à Vals-près-le-Puy,"Prix de l’aventurière[25],[28]","[29],[30]"
Miss Bourgogne,Luna Lacharme,18 ans,"1,75 m",La Chapelle-de-Guinchay,8 octobre 2023 à Chalon-sur-Saône,Top 15 (10e),"[31],[32]"
Miss Bretagne,Noémie Le Bras,21 ans,"1,75 m",Le Cloître-Pleyben,29 septembre 2023 à Ploemeur,,"[33],[34]"
Miss Centre-Val de Loire,Emmy Gisclon,22 ans,"1,76 m",Chambray-les-Tours,17 septembre 2023 à Dreux,Top 15 (13e),"[35],[36]"
Miss Champagne-Ardenne,Noa Dutitre,22 ans,"1,70 m",Reims,6 octobre 2023 à Tinqueux,,"[37],[38]"
Miss Corse,Sandra Bak,23 ans,"1,71 m",Ajaccio,28 juillet 2023 à Porticcio,Top 15 (14e),"[39],[40]"
Miss Côte d'Azur,Karla Bchir,19 ans,"1,75 m",Cannes,30 juillet 2023 à Fréjus,Top 15 (12e),"[41],[42]"
Miss Franche-Comté,Sonia Coutant,24 ans,"1,72 m",Champagnole,20 octobre 2023 à Dole,Prix du costume régional[43],"[44],[45]"
Miss Guadeloupe,Jalylane Maës,18 ans,"1,73 m",Les Abymes,19 juillet 2023 au Gosier,3e dauphine,"[46],[47]"
Miss Guyane,Audrey Ho-Wen-Tsaï,17 ans,"1,73 m",Kourou,15 juillet 2023 à Cayenne,1re dauphine,"[48],[49]"
Miss Île-de-France,Elena Faliez,28 ans,"1,74 m",Paris,22 octobre 2023 à Dammarie-les-Lys,Top 15 (8e),"[50],[51]"
Miss Languedoc,Maxime Teissier,20 ans,"1,73 m",Montpellier,4 août 2023 à Beaucaire,4e dauphine,"[52],[53]"
Miss Limousin,Agathe Toullieu,22 ans,"1,77 m",Cosnac,1er octobre 2023 à Limoges,,"[54],[55]"
Miss Lorraine,Angéline Aron-Clauss,26 ans,"1,70 m",Hilbesheim,7 octobre 2023 à Toul,,"[56],[57]"
Miss Martinique,Chléo Modestine,21 ans,"1,75 m",Le Vauclin,23 septembre 2023 à Fort-de-France,,"[58],[59]"
Miss Mayotte,Houdayifa Chibaco,22 ans,"1,72 m",M'Tsangamouji,30 août 2023 à Pamandzi,,"[60],[61]"
Miss Midi-Pyrénées,Nadine Benaboud,23 ans,"1,71 m",Tarbes,2 septembre 2023 à Villemur-sur-Tarn,Top 15 (15e),"[62],[63]"
Miss Nord-Pas-de-Calais,Ève Gilles,20 ans,"1,71 m",Quaëdypre,14 octobre 2023 à Liévin,Miss France 2024,"[64],[65]"
Miss Normandie,Wissem Morel-Omari,21 ans,"1,76 m",Rouen,28 octobre 2023 à Caen,"Top 15 (5e dauphine)
Prix du défilé[25]","[66],[67]"
Miss Nouvelle-Calédonie,Emma Grousset,21 ans,"1,80 m",Nouméa,9 septembre 2023 à Nouméa,,"[68],[69]"
Miss Pays de la Loire,Clémence Ménard,26 ans,"1,74 m",La Séguinière,30 septembre 2023 à Château-Gontier,Top 15 (9e),"[70],[71]"
Miss Picardie,Charlotte Cresson,23 ans,"1,71 m",Nesle,15 octobre 2023 à Beauvais,,"[72],[73]"
Miss Poitou-Charentes,Lounès Texier,19 ans,"1,73 m",Périgné,1er septembre 2023 au Futuroscope,,"[74],[75]"
Miss Provence,Adélina Blanc,25 ans,"1,73 m",Eyragues,27 juillet 2023 à Saint-Raphaël,2e dauphine,"[76],[77]"
Miss Réunion,Mélanie Odules,20 ans,"1,78 m",Saint-Paul,26 août 2023 à Saint-Denis,,"[78],[79]"
Miss Rhône-Alpes,Alizée Bidaut,22 ans,"1,74 m",Saint-Genis-sur-Menthon,23 septembre 2023 à La Roche-sur-Foron,,"[80],[81]"
Miss Roussillon,Élise Aquilina,21 ans,"1,71 m",Cabestany,5 août 2023 au Barcarès,"Top 15 (11e)
Prix de l’académie des Miss[25]","[82],[83]"
Miss Tahiti,Ravahere Silloux,25 ans,"1,72 m",Papeete,23 juin 2023 à Papeete,Top 15 (6e dauphine),"[84],[85]"
